분류,제목,회사명,경력유무,학력,성별,연령,전공,장애인채용구분,우대조건,고용형태,직무,담당업무,직급,직책,근무지역,근무시간/요일,근무형태,복리후생,근무기간,급여조건,계약기간,작업환경,장애인편의시설,담당자명,연락처,이메일,접수기간,접수방법,전형일정,홈페이지,적합장애유형,부적합장애유형,기업정보.업종,기업정보.사원수,기업정보.대표자,기업정보.기업형태,기업정보.주소
교육·법률·사회복지·경찰·소방 및 군인,미래장애인자립생활센터 동료상담가 장애인직원 채용[재공고_긴급],(사)인뇌협 미래장애인자립생활센터,관계없음,학력무관,,,,장애인만 채용,"보훈취업지원대상자, 운전면허증",기간의 정함이 있는 근로계약 12 개월/ 계약기간 만료 후 상용직 전환 검토,동료상담가,"[장애인자립생활센터 기본 행정 업무 및 동료상담 프로그램 운영] - 센터 이용인 상담 및 사례관리 - 동료상담 관련 프로그램 준비 및 진행 (간식구매 및 프로그램 진행 셋팅, 강사 섭외 등) - 활동일지 작성 및 기타 행정 서류 관리 등",,,"(21927) 인천광역시 연수구 용담로 111, 308-2호 (연수동, 아시스타워)","평일: (오전) 9시 00분~(오후) 6시 00분, 주 5일 근무, 평균 근무시간: 40",,,,"월급 2,093,900원 이상, 상여금: 60% (미 포함)",,,"장애인용 주차장, 장애인용 승강기",,032-214-0068,,~ 20240822,워크넷,,http://www.ibwa.or.kr/main/main.asp,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)', '정신장애']","['지체장애(중증)', '청각장애(중증)', '내부장애(경증)', '언어장애(경증)']",그 외 기타 협회 및 단체,4 명,서연희,,"21927 인천광역시 연수구 용담로 111, 308-2호 (연수동, 아시스타워)"
경영·사무·금융·보험,[한국수출입은행] 2024년 하반기 장애인 청년인턴 채용,주식회사 트리피,경력무관,학력무관,,,,장애정도 무관,,인턴,,,면접 후 결정,면접 후 결정,서울 영등포구,,,,,월급 (최소 207만원원 이상),,,,유종명,,jmyu@tri-pconsulting.com,2024.08.19 ~ 2024.09.03,자사 홈페이지,서류전형 - 면접전형 - 최종합격자 선정(신체검사 및 신원조사),https://koreaexim.recruitlab.co.kr/,"['지체장애(경증)', '청각장애(경증)', '정신장애']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)']",,,,,"서울 영등포구 당산로41길 11, 324,325호(당산동4가, 당산 SK V1 center)"
예술·디자인·방송·스포츠,[블루보틀커피/장애인채용] Design Support,블루보틀커피코리아유한회사,경력무관,학력무관,,,,장애정도 무관,Adobe Premiere 사용 가능 시 우대,계약직,Design Support,"디자인 제작 보조, 이미지 및 파일 관리, 디자인 수정 작업, 온라인 디자인 작업",사원급,팀원,서울 성동구,"주 20시간 (일 4시간, 휴게시간 30분)",협의 가능,"4대보험, 재택근무 가능",,"시급 10,500원",6개월,재택근무 또는 블루보틀 성수 본사 근무 (협의 가능),,이향리,,careers-kr@bluebottlecoffee.com,2024.08.20 ~ (채용 시 마감),"이메일, 자사 홈페이지",서류전형 > 1차면접 > 2차면접 > 최종합격,https://jobs.lever.co/bluebottlecoffee/e452f70d-175b-49e2-b17a-0695c30bf4cb,"['지체장애(경증)', '뇌병변장애(경증)', '시각장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)', '청각장애(중증)', '언어장애(경증)', '언어장애(중증)', '정신장애']",커피전문점,,,,서울 성동구 아차산로 7
교육·법률·사회복지·경찰·소방 및 군인,"EM실천법인직영 직원 채용-직업훈련교사(사회복지사,장애인재활상담사)",EM실천,신입,학력무관,,,,장애인만 채용,"사회복지사, 장애인재활상담사 자격증",계약직,직업훈련교사,상세내용을 입력하세요 (구체적인 업무 내용 기재 필요),사원급,,서울 금천구,,,,,연봉 (면접 시 협의),,,,,,,,,서류전형 > 1차면접 > 2차면접 > 임원면접 > 최종합격,,"['지체장애(경증)', '신경장애(청각장애)', '지적장애', '자폐성장애']","['시각장애(중증)', '뇌병변장애(중증)']",,,,,서울 금천구
경영·사무·금융·보험,[장애인 채용 / 재택근무] 영업지원 사무보조원 1명 모집,에스씨케이(주),경력 (최소 1년 우대),학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 (12개월),사무보조,"문서 입력, 자료 정리 등",,,"(04797) 서울특별시 성동구 아차산로11길 18 (성수동2가, 쁘랭땅빌딩)","주 5일 근무, (오전) 8시 00분 ~ (오후) 5시 00분",출퇴근 근무,점심식사 제공,12개월 계약직 (업무 평가 후 계약 연장),"월급 2,060,740원 이상 ~ 2,060,740원 이하",,,,,02-2008-7239,,~ 20240902,워크넷,,http://www.b-sck.com/,"['지체장애(경증)', '언어장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",상용 인력 공급 및 인사관리 서비스업,1200 명,이남수,중소기업,"04797 서울특별시 성동구 아차산로11길 18 (성수동2가, 쁘랭땅빌딩)"
미용·여행·숙박·음식·경비·돌봄·청소,HD현대삼호(현대삼호중공업) 내 협력사 환경정리 및 자재보조(장애인만 채용),주식회사세웅산업,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약,환경정리 및 자재 보조,"건물 및 사무실, 탈의실 청소 및 환경정리, 자재 업무 보조",,,"전라남도 영암군 삼호읍 대불로 93, (주)세웅산업 (현대삼호중공업)","주 5일 근무, 오전 8시 ~ 오후 5시",종일근무(8시간) 또는 오전근무(4시간) 선택 가능,"통근버스, 자녀 학자금 지원, 주택자금 지원",,"시급 9,860원 이상",,,,,,,~ 채용시까지,"방문, 워크넷",,,"['지체장애(경증)', '뇌병변장애(경증)']","['청각장애(중증)', '언어장애(중증)']",선박 구성 부분품 제조업,120명,박선오,중소기업,"58462 전라남도 영암군 삼호읍 대불로 93, (주)세웅산업 (현대삼호중공업)"
미용·여행·숙박·음식·경비·돌봄·청소,헌혈의집 신촌센터 청소원 모집,구로구립장애인보호작업장,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약,청소원,헌혈의집 신촌센터 청소,,,"(03779) 서울특별시 서대문구 신촌로 99, 엘리트 빌딩 2층 헌혈의집 신촌센터 (창천동)","주 6일, 1일 2시간 (협의 가능)",유동적 근무,,채용시 ~ 2024년 12월 31일,"시급 9,860원 이상 / 월 515,000원 (현장수당 별도 지급)",,,,,02-2689-8791,,~ 채용시까지,"방문, 우편, 팩스, 워크넷, 이메일",,,"['지체장애(경증)', '시각장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']","소독, 구충 및 방제 서비스업",83 명,이성미,기타,08263 서울특별시 구로구 경인로 21 (온수동)
미용·여행·숙박·음식·경비·돌봄·청소,(주)엔엠에프 주방보조직원 모집 (장애인채용),(주)엔엠에프,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약,주방 보조,주방 보조업무,,,(06119) 서울특별시 강남구 봉은사로1길 40 (논현동),"주 5일 근무, 일 4시간 또는 6시간 근무 가능","주 5일, 평균 근무시간: 15시간","4대보험 가입, 근무복 지급, 식사 1회 제공",,"월급 1,200,000원 이상 ~ 1,700,000원 이하",,,,,010-2203-8485,,~ 채용시까지,"워크넷, 기타(문자 지원)",,,"['지체장애(경증)', '안면장애(경증)']","['장애인 편의시설 없음으로 인해 휠체어 사용자 및 중증 장애인', '지체장애(중증)']",일식 음식점업,30 명,김충기,중소기업,06119 서울특별시 강남구 봉은사로1길 40 (논현동)
미용·여행·숙박·음식·경비·돌봄·청소,장애인 행정실무사 채용 공고,대원고등학교,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 6개월,,"학교 시설, 용도 업무, 시설 점검 및 보수, 학교 행정 업무, 기타 학교장이 정하는 업무",,,"(04939) 서울특별시 광진구 용마산로22길 26, 대원고등학교 (중곡동)","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 5시 00분, 주 5일 근무",,,,"시급 9,860원 이상, 면접 후 재조정 가능",,,,,02-2204-1568,,~ 2024-08-26,방문,,,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)']","['시각장애(중증)', '청각장애(중증)', '언어장애(중증)', '정신장애']",기타 부동산 임대업,78 명,김용학,,"04939 서울특별시 광진구 용마산로22길 26, 대원고등학교 (중곡동)"
미용·여행·숙박·음식·경비·돌봄·청소,4050 경력전환 프로젝트: 호텔리어 양성 과정(프론트 데스크),호텔에이치디씨주식회사안다즈서울강남,관계없음,학력무관,,4050 경력 전환 대상,,비희망,경력직 우대,기간의 정함이 있는 근로계약 12개월,프론트 데스크 직원,체크인/체크아웃 안내 및 고객 응대,,,(06022) 서울특별시 강남구 논현로 854 (신사동),"주 5일 근무, 교대제 (내부 스케줄표에 따라 유동적)",교대제,"수평적 조직 문화, 4대보험, 건강검진 연 1회, 야간교통비, 경조금 및 경조휴가, 생일선물, 근속자 수상, 우수사원 표창, 신입사원 교육, 직무역량개발 교육, 외국어 교육, 워크숍, 유니폼 지급, 호텔 숙박 및 식음료 할인 제공, 연 12박의 전세계 하얏트 무료 숙박",,"연봉 27,000,000원 이상 ~ 40,000,000원 이하, 상여금 100%",12개월,,"장애인용 주차장, 장애인용 승강기, 건물 내부 경사로, 장애인용 화장실",(유관기관-중장년내일센터)노사발전재단_서울센터,02-6350-1504,,~ 채용시까지,이메일,,,"['지체장애(경증)', '언어장애(경증)', '청각장애(경증)']","['지체장애(중증)', '청각장애(중증)', '뇌병변장애(중증)']",호텔업,180 명,이성용,,"06022 서울특별시 강남구 논현로 854, 안다즈서울 강남 (신사동, KT신사지사)"
교육·법률·사회복지·경찰·소방 및 군인,[연제구육아종합지원센터] 2024년 제3차 시간제대체교사(장애인) 공개채용 공고,연제구육아종합지원센터,관계없음,학력무관,,,,장애인만 채용,보육교사 3급 이상 자격증 소지자,기간의 정함이 있는 근로계약(시간(선택)제),,"어린이집 교사의 경조사, 병가, 교육으로 인한 부재 시 보육업무 대체",,,(47547) 부산광역시 연제구 거제대로124번길 22 (거제동),"1일 4시간 (09:00~18:00 중 4시간 30분 근무, 휴게시간 30분 포함), 월 3주 근무, 주 5일 근무",주 20시간 근무,기타(.),채용 시 ~ 2024. 12. 31. (필요에 따라 연장 가능),"시급 11,130원 이상 ~ 11,130원 이하",,,,,051-866-7633,,~ 채용시까지,이메일,,http://www.yjscfc.or.kr/,"['지체장애(경증)', '뇌병변장애(경증)']","['청각장애(중증)', '정신장애']",그 외 기타 비거주 복지 서비스업,0 명,최진령,,47547 부산광역시 연제구 거제대로124번길 22 (거제동)
설치·정비·생산·인쇄·목재·공예 및 제조 단순,장애인직업재활시설 근로장애인 모집,사단법인 샛별공동체（샛별재활원）,관계없음,학력무관,,,,장애인만 채용,"거주지가 성남시인 자(우선순위), 대중교통 이용이 가능한 자(혼자 출ㆍ퇴근이 가능한 자)",기간의 정함이 있는 근로계약 3개월 / 계약기간 만료 후 상용직 전환 검토,"생산 및 포장작업, 단순작업(임가공)","문구제품, 토너카트리지, 행정봉투, 종이컵 등 생산품 생산 및 포장작업",,,경기도 성남시 중원구,"주 5일, (오전) 10시 00분~(오후) 5시 00분",,,3개월 / 계약기간 만료 후 상용직 전환 검토,"시급 9,860원 이상 ~ 9,860원 이하",,,,정대관 과장,1833-4125(내선4),nsf200404@naver.com,~ 채용시까지,"방문, 전화접수 및 E-mail 접수",1차 서류심사 후 2차 면접,https://www.ablejob.co.kr/recruit/www.starfamily.co.kr,"['지체장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",문구용 종이제품 제조업,40 명,김종수,,"13207 경기도 성남시 중원구 사기막골로 124 (상대원동, SKn테크노파크)"
미용·여행·숙박·음식·경비·돌봄·청소,[장애인만] 수원소방서 공무직원(구내식당 조리업무) 채용 공고,수원소방서,관계없음,학력무관,제한 없음,만 18세 이상 ~ 만 60세 미만,제한 없음,장애인만 채용,"준고령자 및 고령자 우선 고용, 공공기관 또는 사기업 조리사 경력자, 보훈취업지원대상자",무기계약근로자,조리업무 및 식당정리,구내식당에서 조리 및 관련 업무 수행,공무직원,조리사,"(16335) 경기도 수원시 장안구 정자천로189번길 12, 수원소방서 (정자동)","주 40시간 (1일 8시간), 주 5일 근무; 업무상 필요한 경우 주말 및 공휴일 근무 가능",기간의 정함이 없는 근로계약,"명절휴가비, 급식비, 가족수당, 시간외근무수당, 연가보상비, 자녀학비보조수당 등",정년 만 60세,"월급 2,590,660원",기간의 정함이 없음,구내식당,정보 미제공,,031-8012-9212,duksjjang@gg.go.kr,2024. 8. 20. ~ 2024. 8. 29.,"방문, 우편(등기), 이메일 접수","1차 서류심사, 실기시험, 면접시험, 최종발표 일정 포함",정보 미제공,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '정신장애']",소방서,296 명,권용성,기타,"16335 경기도 수원시 장안구 정자천로189번길 12, 수원소방서 (정자동)"
설치·정비·생산·인쇄·목재·공예 및 제조 단순,[파주시 일자리센터 채용대행 -복사용지 생산 직원 모집],사단법인에스디워크새로운세상,관계없음,학력무관,,,,장애인만 채용,복지카드 소지자만 지원 가능,기간의 정함이 있는 근로계약(시간(선택)제) 4 개월/ 계약기간 만료 후 상용직 전환 검토,,복사용지 생산,,,(10880) 경기도 파주시 교하로863번길 37 (문발동),"주 5일 근무, (오전) 08시 30분 ~ (오후) 12시 30분",,,4개월 후 정직원 전환 검토,"시급 9,860원 이상 ~ 9,860원 이하",,,,우혜선 직업 상담사,031-940-9782,,~ 채용시까지,"팩스, 이메일",,,"['지체장애(경증)', '언어장애(경증)']","['청각장애(중증)', '정신장애']",기타 인쇄업,14 명,함원준,,"10880 경기도 파주시 교하로863번길 37, 1동,2동 (문발동)"
설치·정비·생산·인쇄·목재·공예 및 제조 단순,장애인 생산직 중증사원 모집,（사）한국장애인기업협회 가구사업소,관계없음,학력무관,,,,장애인만 채용,중증장애인만 지원 요망,기간의 정함이 있는 근로계약(시간(선택)제)12 개월,생산직,제품 단순 포장 및 단순 제조업,,,경기도 용인시 처인구 이동읍 묘봉로173번길 51-46,"주 5일 근무, 오전 9시 00분 ~ 오후 1시 00분 (4시간), 30분 휴게",,,,"시급 9,870원 이상",,,,,031-526-7931,,~ 채용시까지,"방문, 팩스, 워크넷",,,"['지체장애(중증)', '뇌병변장애(중증)']",['정신장애'],기타 목재가구 제조업,10 명,한광희,,17138 경기도 용인시 처인구 이동읍 묘봉로173번길 51-46
예술·디자인·방송·스포츠,광고영상 편집자 구인 (장애인채용) 100% 재택근무!,베스트애드,경력 (최소 1년) 우대,학력무관,,,,장애인만 채용,경력 (최소 1년) 우대,기간의 정함이 없는 근로계약,광고영상 편집,유튜브 광고영상 편집,,,"14548 경기도 부천시 원미구 길주로 246 (중동, 부천중동리슈빌엔클래스)","주 5일 근무, (오전) 9시 00분~(오후) 6시 00분, 휴게 1시간 제공",,,,"월급 2,100,000원 이상 ~ 2,100,000원 이하",,,장애인용 주차장,,,,~ 채용시까지,이메일,,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)']",그 외 기타 광고 관련 서비스업,3 명,김용선,,"14548 경기도 부천시 원미구 길주로 246 (중동, 부천중동리슈빌엔클래스)"
